idPelicula,titulo,ano_lanzamiento,resumen
1,Gravity,2013,A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.
2,Lost in Translation,2003,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
3,The Shape of Water,2017,At a top-secret research facility, a lonely janitor forms a unique relationship with an amphibious creature.
4,Inception,2010,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea.
5,Lady Bird,2017,In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.
6,The Irishman,2019,A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.
7,Zero Dark Thirty,2012,A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks.
8,Jurassic Park,1993,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure.
9,Wonder Woman,2017,When an American pilot crashes on the shores of her sheltered island paradise, Diana, an Amazonian warrior in training, leaves home to fight.
10,Pulp Fiction,1994,The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
